ID,Joueur,Équipe,Âge,Poste,Apps,Minutes,Buts,Passes,Jaunes,Rouges,Tirs/match,Passes%,Duels aériens,Homme du match,Note
1,Omar Marmoush,"Eintracht Frankfurt,",26,", AM(CL),FW",17,1454,15,9,2,-,4.5,79.6,0.4,9,8.23
2,Lamine Yamal,"Barcelona,",17,", AM(R)",21(2),1885,5,11,2,-,3.6,78,-,6,7.96
3,Mohamed Salah,"Liverpool,",32,", AM(CLR),FW",29,2575,27,17,1,-,3.7,73.6,0.2,10,7.89
4,Ousmane Dembélé,"PSG,",27,", AM(CLR),FW",16(7),1399,20,5,2,-,3.4,83.7,0.2,9,7.86
5,Bukayo Saka,"Arsenal,",23,", D(L),M(CLR)",16,1276,5,10,3,-,2.9,84.3,0.5,6,7.79
6,Harry Kane,"Bayern,",31,", AM(C),FW",21(2),1766,21,6,4,-,3.7,81.3,1,6,7.76
7,Raphinha,"Barcelona,",28,", AM(CLR),FW",25(1),2135,13,7,3,-,3.2,77.9,0.2,9,7.72
8,Kylian Mbappé,"Real Madrid,",26,", AM(CLR),FW",25,2159,18,3,3,-,4.4,85.4,0.1,6,7.64
9,Florian Wirtz,"Leverkusen,",21,", AM(CLR),FW",20(5),1882,9,10,1,-,2.6,82.7,0.2,7,7.64
10,Jamal Musiala,"Bayern,",22,", M(CLR)",18(4),1585,11,2,2,-,2.7,83.6,0.3,5,7.62
